urls,precio,calle,altura,metros_totales,metros_cubiertos,ambientes,banios,dormitorios,cocheras
/propiedades/clasificado/veclapin-se-vende-departamento-de-2-dorm.-en-torre-natalini-54722207.html,1000,Av-Rivadavia,709.0,96.0,73.0,3.0,2.0,2.0,0.0
/propiedades/clasificado/veclapin-edificio-jose-hernandez-1086.local-comercial-46272146.html,47000,José-Hernández,1100.0,40.0,35.0,1.0,1.0,1.0,1.0
/propiedades/clasificado/veclapin-departamento-4-ambientes-b-nueva-resistencia-chaco-53857448.html,25000,Comandante-Fontana,0.0,60.0,60.0,4.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-ameghino-973-p.-6-dpto.-c-52316359.html,60000,Ameghino,0.0,35.0,35.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-edificio-ameghino-344-monoambiente-55-m-sup2-54552954.html,55000,Ameghino,344.0,55.0,45.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-en-venta-en-mitre-166-54540142.html,1000,Departamento-De-2-Dormitorios-Con-Cochera-En-Venta-,0.0,80.0,0.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-liniers-333-p.-7-dpto.-f-52316260.html,60000,Liniers,0.0,41.0,41.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-venta-de-departamento-2-dorm.-a-estrenar-ameghino-54250433.html,1000,Ameghino,900.0,85.0,80.0,4.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-1-ambiente-villa-central-norte-29035909.html,22000,Av-Chaco,300.0,30.0,25.0,1.0,0.0,0.0,1.0
/propiedades/clasificado/veclapin-vende-departamento-de-2-dorm.-al-frente-ubicado-en-54685093.html,64000,Colon,66.0,78.0,78.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-solar-belgrano-52347695.html,82000,Av-Belgrano,1475.0,81.0,81.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-venta-de-departamentos-en-pozo-peron-al-903-53345114.html,1000,Venta-De-Departamentos-En-Pozo-Peron,903.0,75.0,0.0,4.0,2.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-sobre-25-de-mayo-espacio-comodidad-y-54708698.html,60000,25-De-Mayo,1685.0,92.0,75.0,5.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-arbo-y-blanco-560-departamento-dos-dorm.-frente-3-er-51022713.html,38000,Arbo-Y-Blanco,560.0,44.0,38.0,3.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-edificio-rivadavia-480-hermoso-monoambiente-frente-a-41454569.html,52000,Avenida-Rivadavia,480.0,35.0,35.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-fortin-loma-negra-departamento-2-dorm.-planta-46159311.html,22000,Fortín-Loma-Negra,240.0,58.0,48.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-se-vende-departamento-de-2-dorm.-en-torre-natalini-54722207.html,1000,Av-Rivadavia,709.0,96.0,73.0,3.0,2.0,2.0,0.0
/propiedades/clasificado/veclapin-venta-de-departamento-2-dorm.-a-estrenar-ameghino-54250433.html,1000,Ameghino,900.0,85.0,80.0,4.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-en-venta-departamento-2-dorm.-50905066.html,60000,Dónovan-700-8°,0.0,60.0,60.0,3.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-edificio-jose-hernandez-1086.local-comercial-46272146.html,47000,José-Hernández,1100.0,40.0,35.0,1.0,1.0,1.0,1.0
/propiedades/clasificado/veclapin-departamento-2-dorm.-47709074.html,70000,José-Hernández,250.0,45.0,45.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118000,Ameghino,976.0,95.0,85.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-3-ambientes-macrocentro-resistencia-47802530.html,120000,Av-Rissione,500.0,95.0,90.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-edificio-zaira-saavedra-555-monoambiente-35-m-sup2-53890186.html,48000,Saavedra,555.0,38.0,35.0,1.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-alem-345-monoambientes-30-m-sup2--zona-unne-43641826.html,35000,Leandro-N-Alem,345.0,30.0,30.0,1.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-en-venta-en-mitre-166-54540142.html,1000,Departamento-De-2-Dormitorios-Con-Cochera-En-Venta-,0.0,80.0,0.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-vende-departamento-de-2-dorm.-en-torres-sarmiento-54713714.html,62000,Peron,1451.0,55.0,52.0,3.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-ameghino-973-p.-6-dpto.-c-52316359.html,60000,Ameghino,0.0,35.0,35.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-en-venta-53329744.html,85000,Saavedra,500.0,95.0,90.0,4.0,2.0,3.0,0.0
/propiedades/clasificado/veclapin-solar-rioja-52347579.html,82000,La-Rioja,639.0,54.0,54.0,0.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-de-3-dorm.-dos-banos-54290998.html,82000,Echeverria,352.0,0.0,76.0,5.0,2.0,3.0,1.0
/propiedades/clasificado/veclapin-venta-de-departamento-en-resistencia-53644141.html,1000,Avenida-Sarmiento,200.0,70.0,57.0,3.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-venta-de-departamento-en-b-prov.-unidas-53253467.html,26000,2-De-Febrero,0.0,46.0,40.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-2-dorm.-50172339.html,140000,Avalos,415.0,139.0,100.0,0.0,2.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-3-ambientes-microcentro-resistencia-43982021.html,210000,Liniers,600.0,125.0,93.0,3.0,0.0,2.0,1.0
/propiedades/clasificado/veclapin-monoambiente-moderno-en-zona-de-alta-demanda-en-54166148.html,42000,Ayacucho,737.0,45.0,33.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-venta-departamento-amoblado-54487743.html,48000,Av-Las-Heras,700.0,36.0,35.0,1.0,1.0,0.0,1.0
/propiedades/clasificado/veclapin-edificio-a-344-un-dormitorio-tipo-loft-con-terraza-54622082.html,120000,Ameghino,344.0,89.0,76.0,1.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-4-dorm.-centro-resistencia-52305140.html,150000,Av-Alberdi,200.0,100.0,95.0,5.0,0.0,4.0,1.0
/propiedades/clasificado/veclapin-departamento-tipo-duplex!-b-san-cayetano-50589572.html,37000,Calle-San-Bernardo--Barrio-San-Cayetano-1°,0.0,95.0,95.0,5.0,2.0,4.0,0.0
/propiedades/clasificado/veclapin-departamento-3-ambientes-microcentro-resistencia-50995575.html,186000,Av-Sarmiento,200.0,103.0,103.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-amplio-departamento-3-dorm.-bo-espana-51901318.html,25000,Barrio-España,0.0,93.0,93.0,0.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-departamento-en-cordoba-778-piso-8-52737912.html,110000,Cordoba,778.0,0.0,0.0,0.0,2.0,2.0,0.0
/propiedades/clasificado/veclapin-se-vende:-pueyrredon-750.-edificio-san-ignacio-45451753.html,62000,Pueyrredon,700.0,40.0,40.0,1.0,1.0,0.0,1.0
/propiedades/clasificado/veclapin-inversores!-propiedad-con-10-departamentos-en-venta!-54767716.html,170000,Guido-Spano,755.0,200.0,351.0,0.0,0.0,1.0,1.0
/propiedades/clasificado/veclapin-juan-domingo-peron-1451-47384506.html,75000,Juan-Domingo-Peron,1451.0,110.0,98.0,4.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-fontana-446-monoambiente!-52403529.html,23000,Fontana-400-3°,0.0,36.0,0.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-en-venta!-edificio-farid-50184331.html,40000,Avenida-Wilde-400-4°,0.0,40.0,30.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-centrico-de-2-dorm.-54749698.html,45000,Av-San-Martín,257.0,53.0,53.0,0.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-se-vende:-edificio-mapic-iii.-saavedra-766-45540399.html,85000,Saavedra,700.0,65.0,65.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-echeverria-352-departamento-en-macrocentro-53860576.html,50000,Echeverria,352.0,60.0,60.0,0.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-se-vende-departamento-de-3-dorm.-54350731.html,65000,Dr-Ramirez,600.0,50.0,0.0,0.0,0.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-3-dorm.-macrocentro-resistencia-46904985.html,65000,Padre-Cerqueira,100.0,75.0,75.0,4.0,0.0,3.0,0.0
/propiedades/clasificado/veclapin-departamento-3-dorm.-centro-resistencia-53771761.html,60000,Avalos,300.0,75.0,75.0,4.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-venta-de-complejo-de-tres-departamentos-51749215.html,105000,Pasaje-Wilde,1175.0,248.0,135.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-resistencia-50970482.html,90000,Remedio-Escalada,67.0,74.0,57.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-economico-sobre-av-con-cochera-b-upcp-54521292.html,25000,Av-Soberania-Nacion2120,0.0,120.0,54.0,4.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-venta-departamento-amoblado-53264349.html,45000,Av-Las-Heras,700.0,50.0,45.0,1.0,1.0,0.0,1.0
/propiedades/clasificado/veclapin-hermoso-dpto.-2-dorm.-los-robles-48443759.html,1000,Los-Robles,0.0,131.0,97.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-juan-d-peron-1451-p.-11-dpto.-e-52321692.html,55000,Juan-D-Peron-1451-,0.0,40.0,40.0,2.0,0.0,1.0,0.0
/propiedades/clasificado/veclapin-av-wilde-43-microcentro-47384394.html,1000,Avenida-Wilde-,0.0,89.0,76.0,5.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-2-ambientes-villa-del-parque-51789512.html,22000,1-De-Mayo,100.0,65.0,50.0,2.0,0.0,1.0,0.0
